Individual,Year,Earnings,Group
1,1,31596.416561318525,JL
1,2,32203.861853646948,JL
1,3,33668.403194064405,JL
1,4,34383.712967553074,JL
1,5,36329.4224792274,JL
1,6,27607.4775020912,JL
1,7,29055.226898348086,JL
1,8,29984.14554111074,JL
1,9,31477.101033170522,JL
1,10,31587.014379638007,JL
1,11,33313.54402230921,JL
2,1,30900.94438355161,JL
2,2,31621.537311191223,JL
2,3,31895.503958967656,JL
2,4,32877.38075537747,JL
2,5,33756.58610635335,JL
2,6,25071.031066450287,JL
2,7,26447.01182338966,JL
2,8,26941.259283889118,JL
2,9,28578.833974830344,JL
2,10,29078.08374818814,JL
2,11,29794.244337574717,JL
3,1,30175.801811688623,JL
3,2,31479.03746454532,JL
3,3,32478.519566092906,JL
3,4,32894.580460367375,JL
3,5,33530.455129028735,JL
3,6,25482.294549421196,JL
3,7,26881.553318619546,JL
3,8,28003.946706958755,JL
3,9,29498.032670681376,JL
3,10,30969.760700326035,JL
3,11,31245.23062132377,JL
4,1,28315.956259828148,JL
4,2,29297.38916304023,JL
4,3,30022.883912344787,JL
4,4,31965.7797423861,JL
4,5,33459.6654204881,JL
4,6,24063.804112232618,JL
4,7,25052.519818419438,JL
4,8,26870.654735917324,JL
4,9,28598.41350705466,JL
4,10,29435.634229101594,JL
4,11,30290.75530076539,JL
5,1,31246.292508201597,JL
5,2,31001.373779895504,JL
5,3,31880.3603505213,JL
5,4,31982.116172489816,JL
5,5,33168.804260862664,JL
5,6,24935.791283161572,JL
5,7,26083.57303893218,JL
5,8,27269.07925231834,JL
5,9,28829.839653610048,JL
5,10,29489.358320950534,JL
5,11,30478.42240032214,JL
6,1,30251.673909570407,JL
6,2,32001.163102631956,JL
6,3,32796.63756690345,JL
6,4,33843.966921353174,JL
6,5,35023.05334025763,JL
6,6,26347.45861475203,JL
6,7,27282.071819623474,JL
6,8,28353.023396968878,JL
6,9,29524.156866877485,JL
6,10,31247.19767799943,JL
6,11,32566.424778856,JL
7,1,30598.370013381827,JL
7,2,31627.97664415705,JL
7,3,32337.583770272846,JL
7,4,32675.77891081175,JL
7,5,33537.57657909354,JL
7,6,24482.12466259224,JL
7,7,25504.01085266564,JL
7,8,26985.34367231085,JL
